,2004,2005
01/01 00:00:00,0.9523055876965226,1.4032417852228662
01/01 00:10:00,0.9574504606615871,1.4029372611589794
01/01 00:20:00,0.9627986732464829,1.4029372611589794
01/01 00:30:00,0.9681468858313786,1.4029372611589794
01/01 00:40:00,0.9823648408606009,1.402406695515562
01/01 00:50:00,0.9965827958898233,1.4016312906054047
01/01 01:00:00,1.0071311441837745,1.4004089475429913
01/01 01:10:00,1.0171770980666632,1.4004089475429913
01/01 01:20:00,1.0106534882974683,1.4011843524531487
01/01 01:30:00,1.004129878528273,1.402406695515562
01/01 01:40:00,1.0106534882974683,1.4125261356052836
01/01 01:50:00,1.0171770980666632,1.4130567012487014
01/01 02:00:00,1.01847251524779,1.4130567012487014
01/01 02:10:00,1.0197679324289166,1.4130567012487014
01/01 02:20:00,1.0275348959927415,1.4133612253125882
01/01 02:30:00,1.0353018595565662,1.4108238383101726
01/01 02:40:00,1.0368163113207425,1.406880549734576
01/01 02:50:00,1.0383307630849186,1.4032417852228662
01/01 03:00:00,1.0395450811732865,1.4045222844279175
01/01 03:10:00,1.040106553084725,1.4058049697781352
01/01 03:20:00,1.0409547203414253,1.4041112633907908
01/01 03:30:00,1.0409547203414253,1.4042622993983227
01/01 03:40:00,1.0409547203414253,1.4058479242297235
01/01 03:50:00,1.0414365335131555,1.4014564339701434
01/01 04:00:00,1.0419738510836627,1.4027624379024093
01/01 04:10:00,1.0452243291400283,1.3973694514780788
01/01 04:20:00,1.0467931968948,1.3916891933070028
01/01 04:30:00,1.0495390368827433,1.3864167439162345
01/01 04:40:00,1.0526375204847478,1.3816754491753134
01/01 04:50:00,1.055941334200078,1.3803989267317438
01/01 05:00:00,1.0578783940233178,1.3793445120840393
01/01 05:10:00,1.0590644962329823,1.3789062236409553
01/01 05:20:00,1.057772382263553,1.3787995934110577
01/01 05:30:00,1.0586458905498268,1.376436177861273
01/01 05:40:00,1.061727106295327,1.3753566905196655
01/01 05:50:00,1.060021010021623,1.37448023616675
01/01 06:00:00,1.0582992287127262,1.3767916379018266
01/01 06:10:00,1.056016517557747,1.3807710931106627
01/01 06:20:00,1.056016517557747,1.3821361293743957
01/01 06:30:00,1.0545686760686332,1.3823123662514232
01/01 06:40:00,1.0545686760686332,1.3845466323735298
01/01 06:50:00,1.0545686760686332,1.3836288324651842
01/01 07:00:00,1.0545686760686332,1.3849053549087538
01/01 07:10:00,1.0532921079409323,1.387084667124597
01/01 07:20:00,1.0532921079409323,1.387084667124597
01/01 07:30:00,1.0532921079409323,1.387084667124597
01/01 07:40:00,1.0521962731262562,1.387084667124597
01/01 07:50:00,1.0461414686511168,1.387084667124597
01/01 08:00:00,1.04276146934065,1.3876197854176193
01/01 08:10:00,1.0414786947461847,1.3882349370861662
01/01 08:20:00,1.0403522560520144,1.3934178889866695
01/01 08:30:00,1.0399802394440352,1.3940025059006862
01/01 08:40:00,1.0399802394440352,1.3978944305927794
01/01 08:50:00,1.0367184287869502,1.401438140931174
01/01 09:00:00,1.0336283537079718,1.4040864273056495
01/01 09:10:00,1.0210916740520257,1.405919380270439
01/01 09:20:00,1.0071426735392586,1.4072253348577062
01/01 09:30:00,1.006795160732444,1.4094467039699574
01/01 09:40:00,1.0041835739387357,1.4155318969213466
01/01 09:50:00,1.0041835739387357,1.4217841719186908
01/01 10:00:00,1.0041835739387357,1.44353503682097
01/01 10:10:00,1.0024339347401146,1.4748202328907962
01/01 10:20:00,1.0024339347401146,1.4886710526748699
01/01 10:30:00,1.0014464534976375,1.5072553235880681
01/01 10:40:00,0.9999231380217841,1.5355114016003057
01/01 10:50:00,0.9999231380217841,1.560083920957245
01/01 11:00:00,0.9999231380217841,1.5848194830664653
01/01 11:10:00,1.0014464534976375,1.5953320575015144
01/01 11:20:00,1.0014464534976375,1.6006554007997773
01/01 11:30:00,1.0014464534976375,1.6052047438681118
01/01 11:40:00,1.0024339347401146,1.6052047438681118
01/01 11:50:00,1.0024339347401146,1.6088260797165648
01/01 12:00:00,1.0105067012477855,1.6125164405996681
01/01 12:10:00,1.0247619029685473,1.6193277449577255
01/01 12:20:00,1.0394614044295087,1.6218343437412068
01/01 12:30:00,1.0475825796540428,1.6240765712841203
01/01 12:40:00,1.052102018627981,1.6236841354944727
01/01 12:50:00,1.0601497245217202,1.6236841354944727
01/01 13:00:00,1.0674881998757995,1.6236841354944727
01/01 13:10:00,1.0723533425347092,1.626467061845142
01/01 13:20:00,1.0830641605985234,1.626467061845142
01/01 13:30:00,1.0924290678331587,1.6280895272006495
01/01 13:40:00,1.0903174211071496,1.6299381182064439
01/01 13:50:00,1.1048166535565243,1.6264442203076792
01/01 14:00:00,1.1238476354611984,1.6264442203076792
01/01 14:10:00,1.1265910439679159,1.6299381182064439
01/01 14:20:00,1.1253422448895074,1.6291490577257344
01/01 14:30:00,1.124241013649312,1.6291490577257344
01/01 14:40:00,1.1199966115354025,1.6253079260148848
01/01 14:50:00,1.1164325176967616,1.6222774618176097
01/01 15:00:00,1.1156729660099365,1.6205245027564539
01/01 15:10:00,1.111500553558252,1.6224039075130712
01/01 15:20:00,1.1077073363354795,1.6205245027564539
01/01 15:30:00,1.1077073363354795,1.6180689009754667
01/01 15:40:00,1.104339451629653,1.6170466739657026
01/01 15:50:00,1.104339451629653,1.6146637782808133
01/01 16:00:00,1.1145476924224775,1.611765333885725
01/01 16:10:00,1.1145476924224775,1.6072097414366386
01/01 16:20:00,1.1192370598485775,1.6041026796948705
01/01 16:30:00,1.124241013649312,1.6027870510537308
01/01 16:40:00,1.119856718940858,1.6027870510537308
01/01 16:50:00,1.101482330414147,1.6001594204361822
01/01 17:00:00,1.101482330414147,1.597917267503915
01/01 17:10:00,1.0964783766134127,1.5951173895139
01/01 17:20:00,1.0964783766134127,1.5951173895139
01/01 17:30:00,1.058733976216248,1.5902202807463375
01/01 17:40:00,1.0365655380755008,1.5914045975828024
01/01 17:50:00,1.0250186093388962,1.5902202807463375
01/01 18:00:00,1.0195348933129313,1.5874355013101993
01/01 18:10:00,1.014128023469163,1.5874355013101993
01/01 18:20:00,1.0092644144579235,1.5902202807463375
01/01 18:30:00,1.0059779016900814,1.588966771065341
01/01 18:40:00,1.004286977115414,1.5948971611302443
01/01 18:50:00,0.9956857700518664,1.5966090902497596
01/01 19:00:00,0.9873800653988534,1.5964355991031964
01/01 19:10:00,0.9831182236930206,1.5949858380191289
01/01 19:20:00,0.9803246567676408,1.5974041546344258
01/01 19:30:00,0.9785537500411423,1.5949858380191289
01/01 19:40:00,0.9739467639762883,1.5917981885476504
01/01 19:50:00,0.9682451155746875,1.5917981885476504
01/01 20:00:00,0.9653044454616202,1.5949858380191289
01/01 20:10:00,0.9651865873774375,1.5938132249498047
01/01 20:20:00,0.9627607759073787,1.5917981885476504
01/01 20:30:00,0.9603163578328928,1.584739677395791
01/01 20:40:00,0.9561575427957868,1.577468657113738
01/01 20:50:00,0.9536006309033915,1.574804480458647
01/01 21:00:00,0.9536006309033915,1.5740431809212203
01/01 21:10:00,0.9660054431667473,1.574804480458647
01/01 21:20:00,0.9734892796486938,1.575861648906212
01/01 21:30:00,0.980111167834246,1.575861648906212
01/01 21:40:00,0.9801538060584567,1.580132833768829
01/01 21:50:00,0.9783859848905451,1.5814460460948767
01/01 22:00:00,0.9783859848905451,1.5791391290080383
01/01 22:10:00,0.9783859848905451,1.5791391290080383
01/01 22:20:00,0.9783859848905451,1.5814460460948767
01/01 22:30:00,0.9765224652096792,1.5865392829197766
01/01 22:40:00,0.9713208545515333,1.5889261497736762
01/01 22:50:00,0.9646989663659811,1.5889261497736762
01/01 23:00:00,0.9596361111785428,1.5889261497736762
01/01 23:10:00,0.9596361111785428,1.5865392829197766
01/01 23:20:00,0.9596361111785428,1.5837771516458379
01/01 23:30:00,0.9666889735122921,1.5819353550960076
01/01 23:40:00,0.9694707731344777,1.5819353550960076
01/01 23:50:00,0.962396591688623,1.582050708773388
01/02 00:00:00,0.953588615010757,1.5831276065193745
01/02 00:10:00,0.953588615010757,1.5831276065193745
01/02 00:20:00,0.953588615010757,1.5838925053232182
01/02 00:30:00,0.953588615010757,1.586654636597157
01/02 00:40:00,0.9583787710958113,1.586654636597157
01/02 00:50:00,0.9583787710958113,1.589685532296598
01/02 01:00:00,0.9583787710958113,1.591606663047106
01/02 01:10:00,0.9596997080422764,1.5936169528958664
01/02 01:20:00,0.9716376345198058,1.5936169528958664
01/02 01:30:00,0.9754349113266817,1.603800214937606
01/02 01:40:00,0.9773449949098022,1.600913597304278
01/02 01:50:00,0.9787211005183698,1.6055471893807647
01/02 02:00:00,0.9761110121855439,1.6023073908190166
01/02 02:10:00,0.9761110121855439,1.6023073908190166
01/02 02:20:00,0.9761110121855439,1.6007289982586315
01/02 02:30:00,0.9704261357067407,1.5988739992943821
01/02 02:40:00,0.9642282473617005,1.5988739992943821
01/02 02:50:00,0.9644048286967128,1.598998376256237
01/02 03:00:00,0.9626840407959771,1.5931681482506517
01/02 03:10:00,0.956348440288497,1.5897790202876796
01/02 03:20:00,0.9495910773166265,1.5877998019168833
01/02 03:30:00,0.9473390124858556,1.5877998019168833
01/02 03:40:00,0.9431082381890346,1.5868204975220825
01/02 03:50:00,0.9417057082797702,1.5876268156992008
01/02 04:00:00,0.9366377886855788,1.5871201196285551
01/02 04:10:00,0.9362808789357424,1.5838033658721382
01/02 04:20:00,0.9266048177021984,1.5819436892690948
01/02 04:30:00,0.9255038905368069,1.5819436892690948
01/02 04:40:00,0.9255038905368069,1.5852604430255117
01/02 04:50:00,0.8720384277098524,1.5825567510384206
01/02 05:00:00,0.8657356871565106,1.5790079383174054
01/02 05:10:00,0.8445748416213389,1.5810623241520059
01/02 05:20:00,0.8257756840236679,1.5787904071980046
01/02 05:30:00,0.8233426796427668,1.5806152855960218
01/02 05:40:00,0.8188000234506841,1.5784874466656345
01/02 05:50:00,0.8147340902742672,1.5795238561991252
01/02 06:00:00,0.8134322976020012,1.577583456553533
01/02 06:10:00,0.813576740860527,1.577583456553533
01/02 06:20:00,0.8182495227217306,1.5728118009135237
01/02 06:30:00,0.8176885545444634,1.5633014955849247
01/02 06:40:00,0.8100329484184504,1.5568843930734322
01/02 06:50:00,0.8072608973308126,1.5548251967441762
01/02 07:00:00,0.8039948596097974,1.5544357107852316
01/02 07:10:00,0.8012734743384156,1.5543035904030988
01/02 07:20:00,0.7990433223260226,1.5521227053644269
01/02 07:30:00,0.797839019439504,1.5514779633459357
01/02 07:40:00,0.794827091918171,1.5514779633459357
01/02 07:50:00,0.792396643120584,1.549966663199685
01/02 08:00:00,0.792396643120584,1.5478866753260365
01/02 08:10:00,0.794827091918171,1.5461871186317957
01/02 08:20:00,0.794827091918171,1.5461871186317957
01/02 08:30:00,0.7911106177507854,1.549001606215211
01/02 08:40:00,0.7885198828803017,1.549001606215211
01/02 08:50:00,0.7837548097707283,1.5500429207177904
01/02 09:00:00,0.7792094731216077,1.547904213753998
01/02 09:10:00,0.7788184238152587,1.5471054884483868
01/02 09:20:00,0.7818609654614858,1.5471054884483868
01/02 09:30:00,0.7818609654614858,1.5471054884483868
01/02 09:40:00,0.7818609654614858,1.5517983955111616
01/02 09:50:00,0.7785584793699026,1.5517983955111616
01/02 10:00:00,0.7757197714454197,1.555471150569689
01/02 10:10:00,0.7738624711714278,1.5536563242226353
01/02 10:20:00,0.7673128657003476,1.5536563242226353
01/02 10:30:00,0.7640592628906593,1.552857598917024
01/02 10:40:00,0.7635240254210033,1.5543143825419372
01/02 10:50:00,0.766055837434328,1.5549175614825979
01/02 11:00:00,0.7865535147819298,1.5541348737303309
01/02 11:10:00,0.8423228703585155,1.5541995549460719
01/02 11:20:00,0.886456682643092,1.555079034616001
01/02 11:30:00,0.9034400945332176,1.5559592221365401
01/02 11:40:00,0.920256043032597,1.5559592221365401
01/02 11:50:00,0.9278159833156919,1.5544594560450549
01/02 12:00:00,0.9238163857716823,1.555339643565594
01/02 12:10:00,0.9278365824137114,1.5545788784390775
01/02 12:20:00,0.9312472498726204,1.5542169140100037
01/02 12:30:00,0.9321643351482517,1.5542169140100037
01/02 12:40:00,0.9242121625281644,1.5542169140100037
01/02 12:50:00,0.9230343920871806,1.5533518673690505
01/02 13:00:00,0.9185244544398905,1.5533518673690505
01/02 13:10:00,0.9192032761980884,1.556246818584367
01/02 13:20:00,0.9206032123444594,1.5615357507029854
01/02 13:30:00,0.9197287876458562,1.5606285756842124
01/02 13:40:00,0.9197287876458562,1.5606285756842124
01/02 13:50:00,0.9147721623440501,1.556246818584367
01/02 14:00:00,0.9147721623440501,1.5542590423878235
01/02 14:10:00,0.9147721623440501,1.5542590423878235
01/02 14:20:00,0.9145833302686524,1.5533518673690505
01/02 14:30:00,0.9145833302686524,1.5533518673690505
01/02 14:40:00,0.9195399555704584,1.5558215746040758
01/02 14:50:00,0.9207949432210942,1.5548949204187708
01/02 15:00:00,0.9207949432210942,1.5565852594993184
01/02 15:10:00,0.9207949432210942,1.5581477917155706
01/02 15:20:00,0.9226835839559422,1.5590272713854998
01/02 15:30:00,0.9226835839559422,1.5638619678144803
01/02 15:40:00,0.9226835839559422,1.5621716287339327
01/02 15:50:00,0.9231101175009578,1.5615357507029854
01/02 16:00:00,0.923541072316244,1.5607707086938674
01/02 16:10:00,0.922329968245271,1.5615357507029854
01/02 16:20:00,0.923465346902467,1.5662325628511318
01/02 16:30:00,0.9282610755546493,1.5662325628511318
01/02 16:40:00,0.9216670010188401,1.5611105067226945
01/02 16:50:00,0.9198138059605578,1.5541335176030435
01/02 17:00:00,0.9196361271652751,1.5538164212056944
01/02 17:10:00,0.9203539435663615,1.551548855673131
01/02 17:20:00,0.9199205321647765,1.5504073201857493
01/02 17:30:00,0.9148447951015378,1.5504073201857493
01/02 17:40:00,0.9122296184544709,1.5504073201857493
